pl_name,hostname,discoverymethod,disc_year,pl_orbper,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_eqt,sy_dist,st_teff,st_mass,st_rad,DBSCAN_Cluster,Cluster_Name,LOF_Score,LOF_Label,Potential_Outlier,Outlier_Status
TOI-150.01,TOI-150,Transit,2019,5.857487,14.067295,1.255,797.7533,2.51,1404.5,336.267,6255.0,1.351,1.526,0,Cluster 0,1.0932484564979157,1,False,Normal
GJ 682 c,GJ 682,Radial Velocity,2014,57.32,2.89,0.258,8.7,0.02737312,190.08,5.00671,3028.0,0.27,0.298255,1,Cluster 1,1.246415087682771,1,False,Normal
OGLE-2015-BLG-1649L b,OGLE-2015-BLG-1649L,Microlensing,2019,,13.2,1.18,807.0,2.54,,4230.0,,0.34,,0,Cluster 0,1.103378592395059,1,False,Normal
Kepler-2000 c,Kepler-2000,Transit,2023,20.6180348,1.57,0.14006626,3.09,0.00972,359.0,320.588,3757.0,0.581,0.576,1,Cluster 1,1.057264468289818,1,False,Normal
Kepler-448 c,KOI-12,Transit Timing Variations,2017,2500.0,12.0,1.07,6992.26,22.0,184.72,399.398,6635.0,1.5,1.4,0,Cluster 0,1.0695288980683777,1,False,Normal
MOA-bin-29 b,MOA-bin-29,Microlensing,2019,,14.1,1.26,190.0,0.6,,7120.0,,0.03,,0,Cluster 0,1.1921902245839613,1,False,Normal
Kepler-82 c,Kepler-82,Transit,2012,51.54,5.34,0.47640289,13.9,0.04373407,450.0,904.326,5401.0,0.91,0.898,1,Cluster 1,1.075481696716637,1,False,Normal
Kepler-82 b,Kepler-82,Transit,2012,26.44,4.07,0.36310108,12.15,0.03822798,562.0,904.326,5401.0,0.91,0.898,1,Cluster 1,1.0834252756701137,1,False,Normal
HD 97048 b,HD 97048,Disk Kinematics,2019,,13.3,1.18,794.575,2.5,63.44,183.857,10000.0,2.4,2.25,0,Cluster 0,3.341823394817655,-1,True,Potential Outlier
7 CMa b,7 CMa,Radial Velocity,2011,735.1,13.4,1.2,587.9855,1.85,387.33,19.8101,4826.0,1.34,4.87,3,Cluster 3,0.9612225061547802,1,False,Normal
Kepler-1983 b,Kepler-1983,Transit,2023,7.32851947,2.33,0.20786903,6.04,0.019,807.0,424.428,5135.0,0.812,0.874,1,Cluster 1,0.982126682453649,1,False,Normal
NGTS-8 b,NGTS-8,Transit,2019,2.4997,12.21781,1.09,295.5819,0.93,1345.0,428.976,5241.0,0.89,0.98,0,Cluster 0,1.0213049188462702,1,False,Normal
EPIC 205950854 c,K2-168,Transit,2019,8.050722,1.31,0.11687037,2.27,0.00714,960.6,243.935,5502.7,0.877,0.83,1,Cluster 1,0.9916111466982395,1,False,Normal
7 CMa c,7 CMa,Radial Velocity,2019,996.0,13.9,1.24,276.5121,0.87,350.0,19.8101,4826.0,1.34,4.87,3,Cluster 3,0.9521549661196659,1,False,Normal
Kepler-1990 c,Kepler-1990,Transit,2023,4.06844957,0.98,0.08742989,0.904,0.00284,1170.0,392.739,5751.0,1.028,1.071,1,Cluster 1,0.9839782176461579,1,False,Normal
HD 220197 b,HD 220197,Radial Velocity,2018,1728.0,9.32,0.832,63.566,0.2,164.22,64.411,5683.0,0.91,0.98,0,Cluster 0,1.1533103018820143,1,False,Normal
K2-43 c,K2-43,Transit,2019,2.198884,2.42,0.21589794,6.44,0.0203,1093.7,182.536,3840.6,0.571,0.542,1,Cluster 1,1.1002217892068749,1,False,Normal
Kepler-763 d,Kepler-763,Transit,2023,6.50327035,1.67,0.14898768,3.43,0.0108,804.0,962.459,4999.0,0.8,0.843,1,Cluster 1,0.9794426398584228,1,False,Normal
Kepler-1162 c,Kepler-1162,Transit,2023,59.284064,1.81,0.16147766,3.93,0.0124,401.0,940.211,5225.0,0.861,0.859,1,Cluster 1,1.0805071529319161,1,False,Normal
HD 213885 b,HD 213885,Transit,2019,1.008035,1.745,0.15567847,8.83,0.02778215,2128.0,48.0883,5978.0,1.068,1.1011,1,Cluster 1,1.0179058504886707,1,False,Normal
Kepler-896 c,Kepler-896,Transit,2023,29.5422566,3.15,0.28102466,10.1,0.0317,515.0,2334.93,5510.0,0.877,0.803,1,Cluster 1,1.071085199567207,1,False,Normal
Kepler-1982 b,Kepler-1982,Transit,2023,3.82315697,0.77,0.06869492,0.381,0.0012,1282.0,558.855,6202.0,1.213,1.122,1,Cluster 1,1.0599568296193413,1,False,Normal
HD 213885 c,HD 213885,Radial Velocity,2019,4.78503,4.71,0.42,19.95,0.06276941,1265.4,48.0883,5978.0,1.068,1.1011,1,Cluster 1,1.260902698177568,1,False,Normal
WASP-126 b,WASP-126,Transit,2016,3.28883,10.51358773,0.93796109,90.3,0.28411415,1480.0,216.526,5800.0,1.12,1.27,0,Cluster 0,1.029218580220995,1,False,Normal
HAT-P-69 b,HAT-P-69,Transit,2019,4.7869491,18.786284,1.676,1137.8314,3.58,1930.0,341.263,7394.0,1.648,1.926,0,Cluster 0,1.2433970242058454,1,False,Normal
Kepler-2000 b,Kepler-2000,Transit,2023,6.383159135,2.73,0.24355471,7.9,0.0249,530.0,320.588,3757.0,0.581,0.576,1,Cluster 1,1.0233799541384552,1,False,Normal
TOI-763 c,TOI-763,Transit,2020,12.2737,2.63,0.23463288,9.32,0.02932385,800.0,95.1274,5450.0,0.917,0.897,1,Cluster 1,1.0723982408139712,1,False,Normal
TOI-905 b,TOI-905,Transit,2020,3.739494,13.125739,1.171,211.99261,0.667,1192.0,158.649,5570.0,0.968,0.918,0,Cluster 0,0.9705020024428628,1,False,Normal
TOI-564 b,TOI-564,Transit,2020,1.651144,11.43318,1.02,464.98529,1.463,1714.0,199.581,5640.0,0.998,1.088,0,Cluster 0,1.1311462318996333,1,False,Normal
Kepler-29 b,Kepler-29,Transit,2011,10.33974,2.55,0.22749576,5.0,0.01573168,777.0,832.532,5378.0,0.761,0.732,1,Cluster 1,1.1328917995700336,1,False,Normal
Kepler-1674 b,Kepler-1674,Transit,2020,62.5611,3.2057749,0.28600008,10.4,0.0326,417.0,1012.48,5473.91,0.96,0.877273,1,Cluster 1,1.0362166819152887,1,False,Normal
Kepler-1675 b,Kepler-1675,Transit,2020,63.0382,3.12483349,0.27877897,9.93,0.0313,465.0,651.117,5853.19,1.06,1.12865,1,Cluster 1,1.0697409434407994,1,False,Normal
HD 108236 b,HD 108236,Transit,2020,3.795963,1.615,0.14408065,3.24,0.0102,1099.0,64.5978,5660.0,0.869,0.877,1,Cluster 1,1.0775452422501357,1,False,Normal
HD 164922 c,HD 164922,Radial Velocity,2016,75.74,3.66,0.327,13.0,0.04090237,400.5,22.0016,5390.0,0.926,0.946,1,Cluster 1,1.0298444777655513,1,False,Normal
KMT-2019-BLG-0842L b,KMT-2019-BLG-0842L,Microlensing,2020,,3.19,0.284,10.28,0.03234,,3320.0,,0.76,,1,Cluster 1,1.1997373569204042,1,False,Normal
HD 108236 e,HD 108236,Transit,2020,19.590025,3.083,0.27504684,9.71,0.0306,636.0,64.5978,5660.0,0.869,0.877,1,Cluster 1,1.13904352461868,1,False,Normal
